Date,Description,Deposits,Withdrawals,Balance
22-Mar-24,Transport and Fuel - Total Energies,0,1100.00,107385.00
26-Mar-24,Consultancy Fee - GRA Business Advisory,7500.00,0,114885.00
27-Mar-24,Water Bill - GWCL,0,180.00,114705.00
29-Mar-24,Marketing Materials - Graphic Design Ghana,0,1800.00,112905.00
02-Apr-24,Commercial Rent - Airport Residential Office,0,2500.00,110405.00
04-Apr-24,Service Invoice - Ecobank Ghana Corporate,35000.00,0,145405.00
05-Apr-24,Statutory Electricity Bill - ECG,0,540.00,144865.00
10-Apr-24,Staff Payroll - April 2024,0,12000.00,132865.00
12-Apr-24,Freelance Content Writer - Abena Mensah,0,2800.00,130065.00
15-Apr-24,Corporate Internet - MTN Business,0,350.00,129715.00
16-Apr-24,Project Completion - Accra Metropolitan Assembly,18000.00,0,147715.00
18-Apr-24,Vehicle Maintenance - AutoMart Ghana,0,3500.00,144215.00
22-Apr-24,Professional Membership - ICAG Annual Dues,0,800.00,143415.00
23-Apr-24,Consultancy Retainer - Consolidated Bank Ghana,12000.00,0,155415.00
26-Apr-24,Water Bill - GWCL,0,180.00,155235.00
30-Apr-24,End of Quarter Staff Bonus,0,4000.00,151235.00
01-May-24,Commercial Rent - Airport Residential Office,0,2500.00,148735.00
03-May-24,Service Invoice - Ghana Ports and Harbours Authority,22000.00,0,170735.00
06-May-24,Statutory Electricity Bill - ECG,0,490.00,170245.00
09-May-24,Staff Payroll - May 2024,0,12000.00,158245.00
13-May-24,Contractor Payment - Kwame Web Solutions,0,4200.00,154045.00
14-May-24,Consultancy Fee - Kasapreko Company Ltd,16500.00,0,170545.00
15-May-24,Corporate Internet - MTN Business,0,350.00,170195.00
20-May-24,Office Supplies - Koala Supermarket Accra,0,650.00,169545.00
22-May-24,Transport and Fuel - Total Energies,0,920.00,168625.00
24-May-24,Technical Support Contract - Fidelity Bank Ghana,9000.00,0,177625.00
28-May-24,Water Bill - GWCL,0,180.00,177445.00
03-Jun-24,Commercial Rent - Airport Residential Office,0,2500.00,174945.00
05-Jun-24,Service Invoice - SIC Insurance Ghana,28000.00,0,202945.00
06-Jun-24,Statutory Electricity Bill - ECG,0,570.00,202375.00
11-Jun-24,Staff Payroll - June 2024,0,12000.00,190375.00
13-Jun-24,Retainer Receipt - MTN Ghana Corporate Division,19500.00,0,209875.00
14-Jun-24,Legal Retainer - Bentsi Enchill and Letsa,0,5000.00,204875.00
17-Jun-24,Corporate Internet - MTN Business,0,350.00,204525.00
20-Jun-24,Staff Welfare - Shoprite Ghana,0,1200.00,203325.00
25-Jun-24,Water Bill - GWCL,0,180.00,203145.00
27-Jun-24,Project Fee - Ghana Education Service,11000.00,0,214145.00
28-Jun-24,Software Subscription - Sage Accounting Annual,0,1800.00,212345.00
01-Jul-24,Commercial Rent - Airport Residential Office,0,2500.00,209845.00
02-Jul-24,Service Invoice - AngloGold Ashanti Ghana,42000.00,0,251845.00
04-Jul-24,Statutory Electricity Bill - ECG,0,620.00,251225.00
08-Jul-24,Staff Payroll - July 2024,0,12000.00,239225.00
11-Jul-24,Consultancy Fee - Enterprise Group Ghana,15000.00,0,254225.00
12-Jul-24,Contractor Payment - UX Designer Accra,0,5500.00,248725.00
17-Jul-24,Corporate Internet - MTN Business,0,350.00,248375.00
19-Jul-24,Training Workshop - GIPC Ghana,0,2500.00,245875.00
22-Jul-24,Technical Contract - Agricultural Development Bank,8500.00,0,254375.00
23-Jul-24,Transport and Fuel - Total Energies,0,1050.00,253325.00
29-Jul-24,Water Bill - GWCL,0,180.00,253145.00
01-Aug-24,Commercial Rent - Airport Residential Office,0,2500.00,250645.00
02-Aug-24,Service Invoice - Vodafone Business Ghana,31000.00,0,281645.00
05-Aug-24,Statutory Electricity Bill - ECG,0,550.00,281095.00
09-Aug-24,Staff Payroll - August 2024,0,12000.00,269095.00
13-Aug-24,Freelance Research - Data Analyst Contractor,0,3800.00,265295.00
14-Aug-24,Retainer - National Investment Bank Ghana,17500.00,0,282795.00
15-Aug-24,Corporate Internet - MTN Business,0,350.00,282445.00
19-Aug-24,Annual Website Renewal - DomainKing Ghana,0,1200.00,281245.00
23-Aug-24,Transport and Fuel - Total Energies,0,890.00,280355.00
26-Aug-24,Consultancy Revenue - KPMG Ghana Sub Advisory,7000.00,0,287355.00
28-Aug-24,Water Bill - GWCL,0,180.00,287175.00
02-Sep-24,Commercial Rent - Airport Residential Office,0,2500.00,284675.00
04-Sep-24,Service Invoice - Absa Bank Ghana,36000.00,0,320675.00
05-Sep-24,Statutory Electricity Bill - ECG,0,580.00,320095.00
10-Sep-24,Staff Payroll - September 2024,0,12000.00,308095.00
14-Sep-24,Contractor Payment - Digital Marketing Agency,0,6000.00,302095.00
16-Sep-24,Project Milestone - Ministry of Finance ICT Division,22000.00,0,324095.00
17-Sep-24,Corporate Internet - MTN Business,0,350.00,323745.00
21-Sep-24,Office Renovation - Interior Solutions Ltd,0,8500.00,315245.00
25-Sep-24,Consultancy Fee - Databank Brokerage Ltd,9500.00,0,324745.00
26-Sep-24,Water Bill - GWCL,0,180.00,324565.00
30-Sep-24,End of Quarter Staff Bonus,0,4000.00,320565.00
01-Oct-24,Commercial Rent - Airport Residential Office,0,2500.00,318065.00
03-Oct-24,Service Invoice - Ghana Revenue Authority Technology,29000.00,0,347065.00
04-Oct-24,Statutory Electricity Bill - ECG,0,510.00,346555.00
09-Oct-24,Staff Payroll - October 2024,0,12000.00,334555.00
11-Oct-24,Retainer Receipt - Tullow Oil Services Ghana,21000.00,0,355555.00
15-Oct-24,Contractor Payment - Cybersecurity Specialist,0,5000.00,350555.00
17-Oct-24,Corporate Internet - MTN Business,0,350.00,350205.00
22-Oct-24,Professional Development - PMI Ghana Chapter,0,2200.00,348005.00
24-Oct-24,Technical Advisory - GCB Bank Ghana,8000.00,0,356005.00
25-Oct-24,Transport and Fuel - Total Energies,0,980.00,355025.00
30-Oct-24,Water Bill - GWCL,0,180.00,354845.00
01-Nov-24,Commercial Rent - Airport Residential Office,0,2500.00,352345.00
05-Nov-24,Service Invoice - Cocobod ICT Services,33000.00,0,385345.00
06-Nov-24,Statutory Electricity Bill - ECG,0,490.00,384855.00
11-Nov-24,Staff Payroll - November 2024,0,12000.00,372855.00
14-Nov-24,Freelance Graphic Designer - Kwesi Creative,0,2500.00,370355.00
15-Nov-24,Consultancy Fee - Sanlam Life Ghana,14000.00,0,384355.00
18-Nov-24,Corporate Internet - MTN Business,0,350.00,384005.00
21-Nov-24,Year End Planning Travel - Domestic,0,3500.00,380505.00
25-Nov-24,Project Fee - Accra City Hotel Digital Systems,7500.00,0,388005.00
26-Nov-24,Water Bill - GWCL,0,180.00,387825.00
29-Nov-24,Software License Renewal - Microsoft 365 Business,0,2400.00,385425.00
02-Dec-24,Commercial Rent - Airport Residential Office,0,2500.00,382925.00
04-Dec-24,Service Invoice - Access Bank Ghana Corporate,38000.00,0,420925.00
05-Dec-24,Statutory Electricity Bill - ECG,0,560.00,420365.00
10-Dec-24,Staff Payroll - December 2024,0,12000.00,408365.00
12-Dec-24,Year End Retainer - Aluworks Limited Ghana,16000.00,0,424365.00
13-Dec-24,Christmas Staff Bonus - Annual,0,8000.00,416365.00
17-Dec-24,Corporate Internet - MTN Business,0,350.00,416015.00
19-Dec-24,Year End Team Celebration - Golden Tulip Hotel,0,3500.00,412515.00
20-Dec-24,Consultancy Fee - Year End Settlement Datalink,10500.00,0,423015.00
23-Dec-24,Water Bill - GWCL,0,180.00,422835.00
27-Dec-24,Office Equipment - HP Laptop Procurement,0,4200.00,418635.00
31-Dec-24,Transport and Fuel - Year End Total Energies,0,750.00,417885.00
