Date,Description,Deposits,Withdrawals,Balance
16-Mar-26,Retainer Receipt - Wilmar Ghana Ltd,26000.00,0,1000160.00
18-Mar-26,Corporate Internet - MTN Business,0,420.00,999740.00
21-Mar-26,Staff Training - GIMPA Executive Programme,0,4000.00,995740.00
24-Mar-26,Transport and Fuel - Total Energies,0,1350.00,994390.00
27-Mar-26,Consultancy Fee - GRA Business Advisory,9500.00,0,1003890.00
28-Mar-26,Water Bill - GWCL,0,220.00,1003670.00
31-Mar-26,Marketing Materials - Graphic Design Ghana,0,2200.00,1001470.00
01-Apr-26,Commercial Rent - Airport Residential Office,0,2500.00,998970.00
04-Apr-26,Service Invoice - Ecobank Ghana Corporate,44000.00,0,1042970.00
06-Apr-26,Statutory Electricity Bill - ECG,0,610.00,1042360.00
09-Apr-26,Staff Payroll - April 2026,0,13500.00,1028860.00
11-Apr-26,Freelance Content Writer - Abena Mensah,0,3500.00,1025360.00
14-Apr-26,Corporate Internet - MTN Business,0,420.00,1024940.00
17-Apr-26,Project Completion - Accra Metropolitan Assembly,24000.00,0,1048940.00
19-Apr-26,Vehicle Maintenance - AutoMart Ghana,0,4200.00,1044740.00
23-Apr-26,Consultancy Retainer - Consolidated Bank Ghana,16000.00,0,1060740.00
25-Apr-26,Water Bill - GWCL,0,220.00,1060520.00
30-Apr-26,End of Quarter Staff Bonus,0,5000.00,1055520.00
02-May-26,Commercial Rent - Airport Residential Office,0,2500.00,1053020.00
05-May-26,Service Invoice - Ghana Ports and Harbours Authority,28000.00,0,1081020.00
07-May-26,Statutory Electricity Bill - ECG,0,560.00,1080460.00
09-May-26,Staff Payroll - May 2026,0,13500.00,1066960.00
13-May-26,Contractor Payment - Kwame Web Solutions,0,5200.00,1061760.00
15-May-26,Consultancy Fee - Kasapreko Company Ltd,21000.00,0,1082760.00
18-May-26,Corporate Internet - MTN Business,0,420.00,1082340.00
21-May-26,Office Supplies - Koala Supermarket Accra,0,850.00,1081490.00
24-May-26,Transport and Fuel - Total Energies,0,1180.00,1080310.00
27-May-26,Technical Support Contract - Fidelity Bank Ghana,12000.00,0,1092310.00
30-May-26,Water Bill - GWCL,0,220.00,1092090.00
02-Jun-26,Commercial Rent - Airport Residential Office,0,2500.00,1089590.00
05-Jun-26,Service Invoice - SIC Insurance Ghana,35000.00,0,1124590.00
07-Jun-26,Statutory Electricity Bill - ECG,0,640.00,1123950.00
11-Jun-26,Staff Payroll - June 2026,0,13500.00,1110450.00
13-Jun-26,Retainer Receipt - MTN Ghana Corporate Division,25000.00,0,1135450.00
15-Jun-26,Legal Retainer - Bentsi Enchill and Letsa,0,6000.00,1129450.00
18-Jun-26,Corporate Internet - MTN Business,0,420.00,1129030.00
22-Jun-26,Staff Welfare - Shoprite Ghana,0,1600.00,1127430.00
26-Jun-26,Water Bill - GWCL,0,220.00,1127210.00
28-Jun-26,Project Fee - Ghana Education Service,14000.00,0,1141210.00
30-Jun-26,Software Subscription - Sage Accounting Annual,0,2200.00,1139010.00
02-Jul-26,Commercial Rent - Airport Residential Office,0,2500.00,1136510.00
04-Jul-26,Service Invoice - AngloGold Ashanti Ghana,50000.00,0,1186510.00
05-Jul-26,Statutory Electricity Bill - ECG,0,680.00,1185830.00
09-Jul-26,Staff Payroll - July 2026,0,13500.00,1172330.00
12-Jul-26,Consultancy Fee - Enterprise Group Ghana,19000.00,0,1191330.00
14-Jul-26,Contractor Payment - UX Designer Accra,0,6500.00,1184830.00
16-Jul-26,Corporate Internet - MTN Business,0,420.00,1184410.00
18-Jul-26,Technical Contract - Agricultural Development Bank,11000.00,0,1195410.00
19-Jul-26,Transport and Fuel - Total Energies,0,1300.00,1194110.00
